latin,tai_viet,tai_viet_sinh,nghia,trang,trang_thai
baoeo,,,đai lưng,29,DAP_AN_CUT_CAN_SOAT
bao hằng,ꪚꪱꪫ ꪭꪉꪰ,ꪚꪱꪫ ꪭꪉꪰ,đai thắt,29,OK
bao ngựn,ꪚꪱꪫ ꪉꪙꪳ,ꪚꪱꪫ ꪉꪙꪳ,đai bạc.,29,OK
bảu ló,ꪹꪚꪱ ꪨꪰ,ꪹꪚꪱ ꪨꪰ,khuôn đúc.,31,OK
báu,ꪹꪚꪱ,ꪹꪚꪱ,không.,31,OK
bay,ꪼꪚ,ꪼꪚ,khoác.,31,OK
bay tô,ꪼꪚ ꪶꪔ,ꪼꪚ ꪶꪔ,khoác vào người,31,OK
bay xở,ꪼꪚ ꪹꪎꪷ,ꪼꪚ ꪹꪎꪷ,khoác áo.,31,OK
bắc,ꪚꪀꪰ,ꪚꪀꪰ,chỉ (đồng cân).,31,OK
bắc lai,ꪚꪀꪰ ꪨꪱꪥ,ꪚꪀꪰ ꪨꪱꪥ,hơn chỉ.,31,OK
bắc ngựn,ꪚꪀꪰ ꪉꪙꪳ,ꪚꪀꪰ ꪉꪙꪳ,chỉ bạc.,31,OK
bắc thoóng,ꪚꪀꪰ ꪖꪮꪉ,ꪚꪀꪰ ꪖꪮꪉ,chỉ rưỡi.,31,OK
bắm,ꪚꪾ,ꪚꪾ,làu bàu.,32,OK
bắm bột bột,,ꪚꪾ ꪶꪛꪒ ꪶꪛꪒ,làu ba làu bàu.,32,DAP_AN_CUT_CAN_SOAT
bẳn,ꪚꪽ,ꪚꪽ,củ.,32,OK
bẳn mặn,ꪚꪽ ꪣꪽ,ꪚꪽ ꪣꪽ,củ mài.,32,OK
bẳn tủn,ꪚꪽ ꪔꪙꪴ,ꪚꪽ ꪔꪙꪴ,củ sắn.,32,OK
băng,ꪚꪉꪰ,ꪚꪉꪰ,yểm.,32,OK
băng cặm,ꪚꪉꪰ ꪁꪾ,ꪚꪉꪰ ꪁꪾ,yểm bùa.,32,OK
băng hợn,ꪚꪉꪰ ꪹꪭꪷꪙ,ꪚꪉꪰ ꪹꪭꪷꪙ,yểm nhà.,32,OK
băng mắn,ꪚꪉꪰ ꪣꪽ,ꪚꪉꪰ ꪣꪽ,yểm chú.,32,OK
băng tạng,ꪚꪉꪰ ꪕꪱꪉ,ꪚꪉꪰ ꪕꪱꪉ,yểm đường,32,OK
băng tô,ꪚꪉꪰ ꪶꪔ,ꪚꪉꪰ ꪶꪔ,yểm người.,32,OK
bẳng,ꪚꪉꪰ,ꪚꪉꪰ,ống.,32,OK
bẳng chôống,ꪚꪉꪰ ꪶꪋꪉ,ꪚꪉꪰ ꪶꪋꪉ,ống đựng,32,OK
bẳng hồk,ꪚꪉꪰ ꪶꪭ,ꪚꪉꪰ ꪶꪭ,ống thủng,32,OK
bẳng khọn,ꪚꪉꪰ ꪅꪮꪙ,ꪚꪉꪰ ꪅꪮꪙ,ống điếu,32,OK
bẳng nặm,ꪚꪉꪰ ꪙꪾ,ꪚꪉꪰ ꪙꪾ,ống đựng nước.,32,OK
băư,ꪻꪚ,ꪻꪚ,"lá, tờ.",33,OK
băư bô,ꪻꪚ ꪶꪚ,ꪻꪚ ꪶꪚ,lá sen.,33,OK
băư chặư,ꪻꪚ ꪻꪋ,ꪻꪚ ꪻꪋ,lá sả.,33,OK
băư chẹn,ꪻꪚ ꪵꪋꪙ,ꪻꪚ ꪵꪋꪙ,tờ tiền.,33,OK
băư chể,ꪻꪚ ꪹꪊꪸ,ꪻꪚ ꪹꪊꪸ,tờ giấy.,33,OK
băư côốc,ꪻꪚ ꪶꪀꪀ,ꪻꪚ ꪶꪀꪀ,lá gốc.,33,OK
băư cút,ꪻꪚ ꪀꪒꪴ,ꪻꪚ ꪀꪒꪴ,lá dương xỉ.,33,OK
băư đín đỉ,ꪻꪚ ꪒꪲꪙ ꪒꪲ,ꪻꪚ ꪒꪲꪙ ꪒꪲ,lá ngải.,33,OK
băư đíp,ꪻꪚ ꪒꪲꪚ,ꪻꪚ ꪒꪲꪚ,lá tươi.,33,OK
băư đôổng,ꪻꪚ ꪶꪒꪉ,ꪻꪚ ꪶꪒꪉ,lá sâu.,33,OK
băư đung,ꪻꪚ ꪒꪉꪴ,ꪻꪚ ꪒꪉꪴ,lá rừng.,33,OK
băư fắc,ꪻꪚ ꪻꪞ,ꪻꪚ ꪻꪞ,lá rau.,33,OK
băư fớk,ꪻꪚ ꪹꪥꪷꪀ,ꪻꪚ ꪹꪥꪷꪀ,lá khoai sọ.,33,OK
băư fúc,ꪻꪚ ꪞꪕꪴ,ꪻꪚ ꪞꪕꪴ,lá ráy.,33,OK
băư hản,ꪻꪚ ꪬꪱꪙ,ꪻꪚ ꪬꪱꪙ,lá náng.,33,OK
bătr héo,ꪻꪚ ꪵꪬꪫ,ꪻꪚ ꪵꪬꪫ,lá héo.,34,OK
băư hển,ꪻꪚ ꪹꪭꪸꪙ,ꪻꪚ ꪹꪭꪸꪙ,lá xoan,34,OK
băư hom,ꪻꪚ ꪬꪮꪣ,ꪻꪚ ꪬꪮꪣ,lá thơm,34,OK
băư hu,ꪻꪚ ꪬꪴ,ꪻꪚ ꪬꪴ,vành tai.,34,OK
băư ké,ꪻꪚ ꪵꪀ,ꪻꪚ ꪵꪀ,lá già.,34,OK
băư kêêng,ꪻꪚ ꪹꪀꪸꪉ,ꪻꪚ ꪹꪀꪸꪉ,lá dứa.,34,OK
băư khá,ꪻꪚ ꪄꪱ,ꪻꪚ ꪄꪱ,lá giềng,34,OK
băư khang,ꪻꪚ ꪄꪱꪉ,ꪻꪚ ꪄꪱꪉ,lá trúc,34,OK
băư khán,ꪻꪚ ꪂꪱꪙ,ꪻꪚ ꪂꪱꪙ,lá úa.,34,OK
băư khát,ꪻꪚ ꪄꪱꪒ,ꪻꪚ ꪄꪱꪒ,lá rách,34,OK
băư khảu,ꪻꪚ ꪹꪂꪱ,ꪻꪚ ꪹꪂꪱ,lá lúa.,34,OK
băư kheo,ꪻꪚ ꪵꪄꪫ,ꪻꪚ ꪵꪄꪫ,lá xanh,34,OK
băư khinh,ꪻꪚ ꪄꪲꪉ,ꪻꪚ ꪄꪲꪉ,lá gừng,34,OK
băư lem,,ꪻꪚ ꪵꪨꪣ,lá nhọn,34,DAP_AN_CUT_CAN_SOAT
băư lôông,,ꪻꪚ ꪶꪨꪉ,lá to.,34,DAP_AN_CUT_CAN_SOAT
băư lơng,,ꪻꪚ ꪹꪨꪰꪉ,lá vàng,34,DAP_AN_CUT_CAN_SOAT
băư lún,,ꪻꪚ ꪨꪙꪴ,lá rụng,34,DAP_AN_CUT_CAN_SOAT
băư mạy,,ꪻꪚ ꪼꪣ,lá cây.,34,DAP_AN_CUT_CAN_SOAT
băư mì,ꪻꪚ ꪣꪲ,ꪻꪚ ꪣꪲ,lá mít.,34,OK
băư min,ꪻꪚ ꪘꪸꪙ,ꪻꪚ ꪘꪸꪙ,lá hắc.,34,OK
băư nam,ꪻꪚ ꪘꪱꪣ,ꪻꪚ ꪘꪱꪣ,lá gai.,35,OK
băư nát,ꪻꪚ ꪘꪱꪒ,ꪻꪚ ꪘꪱꪒ,lá đài bi.,35,OK
báu- nhàn,ꪻꪚ ꪑꪱꪙ,ꪻꪚ ꪑꪱꪙ,lá nhãn,35,OK
băư ngồn,ꪻꪚ ꪶꪉꪙ,ꪻꪚ ꪶꪉꪙ,lá ngón,35,OK
băư nọi,ꪻꪚ ꪙꪮꪤ,ꪻꪚ ꪙꪮꪤ,lá bé.,35,OK
băư ỏi,ꪻꪚ ꪮꪮꪤ,ꪻꪚ ꪮꪮꪤ,lá mía.,35,OK
băư ỏn,ꪻꪚ ꪮꪮꪙ,ꪻꪚ ꪮꪮꪙ,lá khoai lang,35,OK
băư ón,ꪻꪚ ꪮꪮꪙ,ꪻꪚ ꪮꪮꪙ,lá non.,35,OK
băư ổn,ꪻꪚ ꪶꪮꪙ,ꪻꪚ ꪶꪮꪙ,lá mập.,35,OK
băư pai,ꪻꪚ ꪜꪱꪠ,ꪻꪚ ꪜꪱꪠ,lá ngọn,35,OK
băư pạo,ꪻꪚ ꪝꪱꪫ,ꪻꪚ ꪝꪱꪫ,lá dừa.,35,OK
băư phát,ꪻꪚ ꪠꪱꪒ,ꪻꪚ ꪠꪱꪒ,lá nhội.,35,OK
băư pỏm,ꪻꪚ ꪜꪮꪣ,ꪻꪚ ꪜꪮꪣ,lá tròn,35,OK
băư pục,ꪻꪚ ꪝꪀꪴ,ꪻꪚ ꪝꪀꪴ,lá bưởi,35,OK
băư púng,ꪻꪚ ꪜꪉꪴ,ꪻꪚ ꪜꪉꪴ,lá mọc.,35,OK
băư sạng,ꪻꪚ ꪄꪱꪉ,ꪻꪚ ꪄꪱꪉ,lá tre.,35,OK
băư toong,ꪻꪚ ꪔꪮꪉ,ꪻꪚ ꪔꪮꪉ,lá dong,35,OK
băư vản,ꪻꪚ ꪪꪱꪙ,ꪻꪚ ꪪꪱꪙ,lá nghệ,35,OK
bău- xóp,ꪻꪚ ꪎꪮꪚ,ꪻꪚ ꪎꪮꪚ,lá tàn.,36,OK
băư xổi,ꪻꪚ ꪶꪎꪥ,ꪻꪚ ꪶꪎꪥ,lá thuôn.,36,OK
bẳư,ꪻꪚ,ꪻꪚ,ngu.,36,OK
bẳư ác,ꪻꪚ ꪮꪱꪀ,ꪻꪚ ꪮꪱꪀ,ngu quá.,36,OK
bắư bả,ꪻꪚ ꪚꪱ,ꪻꪚ ꪚꪱ,ngu dại.,36,OK
bẳư chà,ꪻꪚ ꪋꪱ,ꪻꪚ ꪋꪱ,ngu dổt.,36,OK
bẳir lai,ꪻꪚ ꪨꪱꪥ,ꪻꪚ ꪨꪱꪥ,ngu lắm.,36,OK
bẳư tăn,ꪻꪚ ꪔꪽ,ꪻꪚ ꪔꪽ,ngu ngốc.,36,OK
bẻ,ꪵꪚ,ꪵꪚ,dê.,36,OK
bẻ báng,ꪵꪚ ꪚꪱꪉ,ꪵꪚ ꪚꪱꪉ,dê khoang.,36,OK
bẽ cá,ꪵꪚ ꪀꪱ,ꪵꪚ ꪀꪱ,dê xổng.,36,OK
bẻ cák,ꪵꪚ ꪀꪱꪀ,ꪵꪚ ꪀꪱꪀ,dê đực.,36,OK
bẻ đăm,ꪵꪚ ꪒꪾ,ꪵꪚ ꪒꪾ,dê đen.,36,OK
bẻ đón,ꪵꪚ ꪒꪮꪙ,ꪵꪚ ꪒꪮꪙ,dê trắng,36,OK
bẻ hàk,ꪵꪚ ꪭꪱ,ꪵꪚ ꪭꪱ,dê chết do dịch,36,OK
bé hoọng,ꪵꪚ ꪭꪮꪉ,ꪵꪚ ꪭꪮꪉ,dê kêu.,36,OK
bẻ lôông,ꪵꪚ ꪶꪨꪉ,ꪵꪚ ꪶꪨꪉ,dê to.,36,OK
bẻ mạn,ꪵꪚ ꪣꪱꪙ,ꪵꪚ ꪣꪱꪙ,dê chửa.,36,OK
bẻ mé,ꪵꪚ ꪵꪣ,ꪵꪚ ꪵꪣ,dê cái.,37,OK
bẻ nọi,ꪵꪚ ꪙꪮꪥ,ꪵꪚ ꪙꪮꪥ,dê con.,37,OK
bẻ ón,ꪵꪚ ꪮꪮꪙ,ꪵꪚ ꪮꪮꪙ,dê non.,37,OK
bẻ thảu,ꪵꪚ ꪹꪖꪱ,ꪵꪚ ꪹꪖꪱ,dê già.,37,OK
bék,ꪵꪚꪀ,ꪵꪚꪀ,vác.,37,OK
bék bau,ꪵꪚꪀ ꪹꪚꪱ,ꪵꪚꪀ ꪹꪚꪱ,vác nhẹ.,37,OK
bék chói,ꪵꪚꪀ ꪋꪮꪥ,ꪵꪚꪀ ꪋꪮꪥ,vác giúp,37,OK
bék chóp,ꪵꪚꪀ ꪊꪮꪚ,ꪵꪚꪀ ꪊꪮꪚ,vác cuốc,37,OK
bék chòng,ꪵꪚꪀ ꪹꪊꪷꪉ,ꪵꪚꪀ ꪹꪊꪷꪉ,vác hàng,37,OK
bék ham,ꪵꪚꪀ ꪬꪱꪣ,ꪵꪚꪀ ꪬꪱꪣ,khiêng vác.,37,OK
bék khan,ꪵꪚꪀ ꪄꪱꪙ,ꪵꪚꪀ ꪄꪱꪙ,vác búa.,37,OK
bék khảu,ꪵꪚꪀ ꪹꪂꪱ,ꪵꪚꪀ ꪹꪂꪱ,vác gạo.,37,OK
bék khửn,ꪵꪚꪀ ꪄꪙ,ꪵꪚꪀ ꪄꪙ,vác lên.,37,OK
bék mạy,ꪵꪚꪀ ꪼꪣ,ꪵꪚꪀ ꪼꪣ,vác gồ.,37,OK
bék mới,ꪵꪚꪀ ꪹꪣꪰꪥ,ꪵꪚꪀ ꪹꪣꪰꪥ,vác mỏi.,37,OK
bék nới,ꪵꪚꪀ ꪹꪘꪰꪥ,ꪵꪚꪀ ꪹꪘꪰꪥ,vác mệt.,37,OK
bék pay,ꪵꪚꪀ ꪼꪜ,ꪵꪚꪀ ꪼꪜ,vác đi.,37,OK
bék thay,ꪵꪚꪀ ꪼꪖ,ꪵꪚꪀ ꪼꪖ,vác cày.,37,OK
bem,ꪵꪚꪣ,ꪵꪚꪣ,"b em .""’",38,OK
bem chôống,ꪵꪚꪣ ꪶꪋꪉ,ꪵꪚꪣ ꪶꪋꪉ,bem đựng.,38,OK
ben,ꪵꪚꪙ,ꪵꪚꪙ,nghịch.,38,OK
ben lai,ꪵꪚꪙ ꪨꪱꪥ,ꪵꪚꪙ ꪨꪱꪥ,nghịch lắm.,38,OK
ben táu,ꪵꪚꪙ ꪹꪔꪱ,ꪵꪚꪙ ꪹꪔꪱ,nghịch đùa.,38,OK
bẻn,ꪵꪚꪙ,ꪵꪚꪙ,cặc.,38,OK
bẻn bẻ,ꪵꪚꪙ ꪵꪚ,ꪵꪚꪙ ꪵꪚ,cặc dê.,38,OK
bẻn hăm,ꪵꪚꪙ ꪬꪾ,ꪵꪚꪙ ꪬꪾ,cặc dái.,38,OK
bẻn hộ,ꪵꪚꪙ ꪶꪭ,ꪵꪚꪙ ꪶꪭ,cặc bò.,38,OK
bẻn mạ,ꪵꪚꪙ ꪣꪱ,ꪵꪚꪙ ꪣꪱ,cặc ngựa.,38,OK
bén,ꪵꪚꪙ,ꪵꪚꪙ,"bắn, đốt.",38,OK
bén ca,ꪵꪚꪙ ꪀꪱ,ꪵꪚꪙ ꪀꪱ,bắn quạ.,38,OK
bén cung,ꪵꪚꪙ ꪀꪉꪴ,ꪵꪚꪙ ꪀꪉꪴ,bắn cung.,38,OK
bén đàn,ꪵꪚꪙ ꪓꪱꪙ,ꪵꪚꪙ ꪓꪱꪙ,bắn đạn.,39,OK
bén fảo,ꪵꪚꪙ ꪞꪱꪫ,ꪵꪚꪙ ꪞꪱꪫ,đốt pháo,39,OK
bén mi,ꪵꪚꪙ ꪘꪲ,ꪵꪚꪙ ꪘꪲ,bẳn gấu.,39,OK
bén nả,ꪵꪚꪙ ꪘꪱ,ꪵꪚꪙ ꪘꪱ,bắn nỏ.,39,OK
bén nôộc,ꪵꪚꪙ ꪶꪙꪀ,ꪵꪚꪙ ꪶꪙꪀ,bẩn chim,39,OK
bén pun,ꪵꪚꪙ ꪜꪙꪸ,ꪵꪚꪙ ꪜꪙꪸ,bắn tên.,39,OK
bén tai,ꪵꪚꪙ ꪔꪱꪥ,ꪵꪚꪙ ꪔꪱꪥ,bắn chết,39,OK
bén thớng,ꪵꪚꪙ ꪹꪖꪰꪉ,ꪵꪚꪙ ꪹꪖꪰꪉ,bắn nỏ.,39,OK
bén tsạt,ꪵꪚꪙ ꪍꪱꪒ,ꪵꪚꪙ ꪍꪱꪒ,bắn trượt,39,OK
bén tsúng,ꪵꪚꪙ ꪌꪉꪴ,ꪵꪚꪙ ꪌꪉꪴ,bắn súng,39,OK
bén xơ,ꪵꪚꪙ ꪹꪎꪰ,ꪵꪚꪙ ꪹꪎꪰ,bắn hổ.,39,OK
béng,ꪵꪚꪉ,ꪵꪚꪉ,"chia, phần, mẻ.",39,OK
béng ceng,ꪵꪚꪉ ꪵꪀꪉ,ꪵꪚꪉ ꪵꪀꪉ,phần canh,39,OK
béng hẳư,ꪵꪚꪉ ꪻꪬ,ꪵꪚꪉ ꪻꪬ,phần cho.,39,OK
béng khẻo,ꪵꪚꪉ ꪵꪄꪫ,ꪵꪚꪉ ꪵꪄꪫ,mẻ răng,39,OK
béng khảu,ꪵꪚꪉ ꪹꪂꪱ,ꪵꪚꪉ ꪹꪂꪱ,phần cơm.,39,OK
béng păn,ꪵꪚꪉ ꪜꪽ,ꪵꪚꪉ ꪜꪽ,chia sẻ.,39,OK
béng thoóng,ꪵꪚꪉ ꪖꪮꪉ,ꪵꪚꪉ ꪖꪮꪉ,chia nửa.,39,OK
béng xoong,ꪵꪚꪉ ꪎꪮꪰꪉ,ꪵꪚꪉ ꪎꪮꪰꪉ,chia đôi.,39,OK
bẻo,ꪵꪚꪫ,ꪵꪚꪫ,lừa.,39,OK
bẻo căn,ꪵꪚꪫ ꪀꪽ,ꪵꪚꪫ ꪀꪽ,lừa nhau,40,OK
béo chẹn,ꪵꪚꪫ ꪵꪋꪙ,ꪵꪚꪫ ꪵꪋꪙ,lừa tiền,40,OK
bẻo cụn,ꪵꪚꪫ ꪌ,ꪵꪚꪫ ꪌ,lừa người,40,OK
bẻo là,ꪵꪚꪫ ꪩꪱ,ꪵꪚꪫ ꪩꪱ,lừa đao.,40,OK
bẻo lò,ꪵꪚꪫ ꪩꪰ,ꪵꪚꪫ ꪩꪰ,lừa dối.,40,OK
bẻo pạng,ꪵꪚꪫ ꪝꪱꪉ,ꪵꪚꪫ ꪝꪱꪉ,lừa lọc.,40,OK
bê,ꪹꪚꪸ,ꪹꪚꪸ,bia.,40,OK
bê đán,ꪹꪚꪸ ꪒꪱꪙ,ꪹꪚꪸ ꪒꪱꪙ,bia đá.,40,OK
bê héok,ꪹꪚꪸ ꪵꪭꪫ,ꪹꪚꪸ ꪵꪭꪫ,bia mộ.,40,OK
bể,ꪹꪚꪸ,ꪹꪚꪸ,"lạng, biển.",40,OK
bể ết,ꪹꪚꪸ ꪹꪮꪸꪒ,ꪹꪚꪸ ꪹꪮꪸꪒ,lạng mốt.,40,OK
bể kí lố,ꪹꪚꪸ ꪀꪲ ꪶꪨ,ꪹꪚꪸ ꪀꪲ ꪶꪨ,lạng ki-lô.,40,OK
bể lôông,ꪹꪚꪸ ꪶꪨꪉ,ꪹꪚꪸ ꪶꪨꪉ,biển lớn.,40,OK
bể ngựn,ꪹꪚꪸ ꪉꪙꪳ,ꪹꪚꪸ ꪉꪙꪳ,lạng bạc.,40,OK
bể nứng,ꪹꪚꪸ ꫜ,ꪹꪚꪸ ꫜ,một lạng.,40,OK
bể thoóng,ꪹꪚꪸ ꪖꪮꪉ,ꪹꪚꪸ ꪖꪮꪉ,lạng rưỡi.,40,OK
bế,ꪹꪚꪸ,ꪹꪚꪸ,"tờ, bức, tàu, chiếc.",40,OK
bế chẹn,ꪹꪚꪸ ꪵꪋꪙ,ꪹꪚꪸ ꪵꪋꪙ,tờ tiền.,40,OK
bế chể,ꪹꪚꪸ ꪹꪊꪸ,ꪹꪚꪸ ꪹꪊꪸ,tờ giấy,41,OK
bế ẻng,ꪹꪚꪸ ꪵꪮꪉ,ꪹꪚꪸ ꪵꪮꪉ,bức ảnh.,41,OK
bế khăn,ꪹꪚꪸ ꪂꪽ,ꪹꪚꪸ ꪂꪽ,chiếc khăn,41,OK
bế toong,ꪹꪚꪸ ꪔꪮ,ꪹꪚꪸ ꪔꪮ,tàu lá.,41,OK
bên,ꪹꪚꪸꪙ,ꪹꪚꪸꪙ,cót.(l),41,OK
bên khảu,ꪹꪚꪸꪙ ꪹꪂꪱ,ꪹꪚꪸꪙ ꪹꪂꪱ,cót đổ xôi.,41,OK
bệt bệt,,ꪹꪛꪸꪒ ꪹꪛꪸꪒ,bê bết.,41,DAP_AN_CUT_CAN_SOAT
bểu,ꪹꪚꪸꪫ,ꪹꪚꪸꪫ,méo.,41,OK
bểu chài,ꪹꪚꪸꪫ ꪋꪱꪥ,ꪹꪚꪸꪫ ꪋꪱꪥ,méo xệch,41,OK
bểu xốp,ꪹꪚꪸꪫ ꪶꪎꪚ,ꪹꪚꪸꪫ ꪶꪎꪚ,méo miệng.,41,OK
bi,ꪚꪲ,ꪚꪲ,mật.,41,OK
bi hộ pá,ꪚꪲ ꪶꪭ ꪜꪱ,ꪚꪲ ꪶꪭ ꪜꪱ,mật bò tót.,41,OK
bi khum,ꪚꪲ ꪂꪣꪴ,ꪚꪲ ꪂꪣꪴ,mật đắng,42,OK
bi láng,ꪚꪲ ꪨꪱꪉ,ꪚꪲ ꪨꪱꪉ,mật trăn.,42,OK
bi mi,ꪚꪲ ꪢꪲ,ꪚꪲ ꪢꪲ,mật gấu.,42,OK
bi mu,ꪚꪲ ꪢꪴ,ꪚꪲ ꪢꪴ,mật lợn.,42,OK
bi ngụ,ꪚꪲ ꪉꪴ,ꪚꪲ ꪉꪴ,mật rắn.,42,OK
bi xơ,ꪚꪲ ꪹꪎꪷ,ꪚꪲ ꪹꪎꪷ,mật hổ.,42,OK
bi pa,ꪚꪲ ꪜꪱ,ꪚꪲ ꪜꪱ,mật cá.,42,OK
bỉ,ꪚꪲ,ꪚꪲ,chuồn chuồn.,42,OK
bỉ bin,ꪚꪲ ꪚꪲꪙ,ꪚꪲ ꪚꪲꪙ,chuồn chuồn bay.,42,OK
bỉ đăm,ꪚꪲ ꪒꪾ,ꪚꪲ ꪒꪾ,chuôn chuôn đen.,42,OK
bỉ đeng,ꪚꪲ ꪵꪒꪉ,ꪚꪲ ꪵꪒꪉ,chuồn chuồn ớt.,42,OK
bỉ hái,ꪚꪲ ꪭꪱꪥ,ꪚꪲ ꪭꪱꪥ,chuồn chuồn lượn.,42,OK
bỉ khim,ꪚꪲ ꪄꪲꪣ,ꪚꪲ ꪄꪲꪣ,chuồn chuồn kim.,42,OK
bỉ lại,ꪚꪲ ꪩꪱꪥ,ꪚꪲ ꪩꪱꪥ,chuồn chuồn hoa.,42,OK
bỉ tôốc nặm,ꪚꪲ ꪶꪔꪀ ꪙꪾ,ꪚꪲ ꪶꪔꪀ ꪙꪾ,chuồn chuồn đạp nước.,42,OK
bí,ꪚꪲ,ꪚꪲ,"bới, vạch",42,OK
bí hau,ꪚꪲ ꪹꪬꪱ,ꪚꪲ ꪹꪬꪱ,bới chấy,42,OK
bin,ꪚꪲꪙ,ꪚꪲꪙ,bay.,43,OK
bin đúng,ꪚꪲꪙ ꪒꪉꪴ,ꪚꪲꪙ ꪒꪉꪴ,bay bống,43,OK
bin fú fú,,ꪚꪲꪙ ꪞꪴ ꪞꪴ,bay vù vù.,43,DAP_AN_CUT_CAN_SOAT
bin hái,ꪚꪲꪙ ꪭꪱꪥ,ꪚꪲꪙ ꪭꪱꪥ,bay lượn,43,OK
bin khửn,ꪚꪲꪙ ꪄꪙ,ꪚꪲꪙ ꪄꪙ,bay lên.,43,OK
bin lụng,ꪚꪲꪙ ꪩꪉꪴ,ꪚꪲꪙ ꪩꪉꪴ,bay xuông.,43,OK
bin mén,ꪚꪲꪙ ꪵꪣꪙ,ꪚꪲꪙ ꪵꪣꪙ,bay nhanh,43,OK
bin nạn,ꪚꪲꪙ ꪙꪱꪙ,ꪚꪲꪙ ꪙꪱꪙ,bay chậm,43,OK
bin ỏm,ꪚꪲꪙ ꪮꪮꪣ,ꪚꪲꪙ ꪮꪮꪣ,bay vòng,43,OK
bin thiu,ꪚꪲꪙ ꪖꪲꪫ,ꪚꪲꪙ ꪖꪲꪫ,bay vút.,43,OK
bin xẻo,ꪚꪲꪙ ꪵꪎꪫ,ꪚꪲꪙ ꪵꪎꪫ,bay lượn.,43,OK
bít,ꪚꪲꪒ,ꪚꪲꪒ,"cấu, gỡ.",43,OK
bít cảng,ꪜꪲꪒ ꪀꪱꪉ,ꪜꪲꪒ ꪀꪱꪉ,gỡ xương,43,OK
bít chếp,ꪚꪲꪒ ꪹꪊꪸꪚ,ꪚꪲꪒ ꪹꪊꪸꪚ,cấu đau.,43,OK
bít chôốc,ꪚꪲꪒ ꪶꪊꪀ,ꪚꪲꪒ ꪶꪊꪀ,cào cấu.,43,OK
bít còi,ꪚꪲꪒ ꪁꪮꪥ,ꪚꪲꪒ ꪁꪮꪥ,cấu nhẹ.,43,OK
bít hẹng,ꪚꪲꪒ ꪵꪭꪉ,ꪚꪲꪒ ꪵꪭꪉ,cấu mạnh,43,OK
bít kha,ꪚꪲꪒ ꪄꪱ,ꪚꪲꪒ ꪄꪱ,cấu chân,43,OK
bít mự,ꪚꪲꪒ ꪣꪳ,ꪚꪲꪒ ꪣꪳ,cấu tay.,43,OK
bo,ꪚꪷ,ꪚꪷ,"dãi, hứng",44,OK
bo đét,ꪚꪷ ꪵꪒꪒ,ꪚꪷ ꪵꪒꪒ,dãi nắng,44,OK
bo hòn,ꪚꪷ ꪭꪮꪙ,ꪚꪷ ꪭꪮꪙ,hứng nóng,44,OK
bo khựm,ꪚꪷ ꪅꪣꪳ,ꪚꪷ ꪅꪣꪳ,hứng lạnh,44,OK
bo lụm,ꪚꪷ ꪩꪣꪴ,ꪚꪷ ꪩꪣꪴ,hứng gió.,44,OK
bo mơi,ꪚꪷ ꪹꪢꪷꪥ,ꪚꪷ ꪹꪢꪷꪥ,dãi sương,44,OK
bo nao,ꪚꪷ ꪘꪱꪫ,ꪚꪷ ꪘꪱꪫ,hứng rét.,44,OK
bo phưn,ꪚꪷ ꪥꪙꪳ,ꪚꪷ ꪥꪙꪳ,dãi mưa.,44,OK
bó,ꪚꪷ,ꪚꪷ,"mỏ, nguồn",44,OK
bó chựn,ꪚꪷ ꪋꪚꪳ,ꪚꪷ ꪋꪚꪳ,mỏ chì.,44,OK
bó cơ,ꪚꪷ ꪹꪀꪷ,ꪚꪷ ꪹꪀꪷ,mỏ muối,44,OK
bó củng,ꪚꪷ ꪀꪉꪴ,ꪚꪷ ꪀꪉꪴ,nguồn tôm.,44,OK
bó đán,ꪚꪷ ꪒꪱꪙ,ꪚꪷ ꪒꪱꪙ,mỏ đá.,44,OK
bó lêếc,ꪚꪷ ꪹꪨꪸꪀ,ꪚꪷ ꪹꪨꪸꪀ,mỏ sắt.,44,OK
bó nặm,ꪚꪷ ꪙꪾ,ꪚꪷ ꪙꪾ,nguồn nước,44,OK
bó ngựn,ꪚꪷ ꪉꪳꪙ,ꪚꪷ ꪉꪳꪙ,mỏ bạc.,44,OK
bó pa,ꪚꪷ ꪜꪱ,ꪚꪷ ꪜꪱ,nguồn cá.,44,OK
bó thán,ꪚꪷ ꪖꪱꪙ,ꪚꪷ ꪖꪱꪙ,mỏ than,44,OK
bó toọng,ꪚꪷ ꪮꪉ,ꪚꪷ ꪮꪉ,mỏ đồng.,44,OK
bók,ꪚꪮꪀ,ꪚꪮꪀ,"dạy, bảo, hoa.",45,OK
bók ban,ꪚꪮꪀ ꪚꪱꪚ,ꪚꪮꪀ ꪚꪱꪚ,hoa ban.,45,OK
bók bẻ,ꪚꪮꪀ ꪵꪚ,ꪚꪮꪀ ꪵꪚ,hoa ngón trắng,45,OK
bók bô,ꪚꪮꪀ ꪶꪚ,ꪚꪮꪀ ꪶꪚ,hoa sen.,45,OK
bók cài,ꪚꪮꪀ ꪁꪱꪥ,ꪚꪮꪀ ꪁꪱꪥ,hoa vải.,45,OK
bók cắm,ꪚꪮꪀ ꪀꪾ,ꪚꪮꪀ ꪀꪾ,hoa tím.,45,OK
bók căn,ꪚꪮꪀ ꪀꪽ,ꪚꪮꪀ ꪀꪽ,bảo nhau,45,OK
bók chá,ꪚꪮꪀ ꪋꪱ,ꪚꪮꪀ ꪋꪱ,hoa giả.,45,OK
